0.000000000000000000e+00	2.799374999999999947e+00	2.770125000000000171e+00
1.000000000000000000e+00	2.826375000000000082e+00	2.772750000000000270e+00
2.000000000000000000e+00	2.846999999999999975e+00	2.770500000000000185e+00
3.000000000000000000e+00	2.846249999999999947e+00	2.770875000000000199e+00
4.000000000000000000e+00	2.837625000000000064e+00	2.772000000000000242e+00
5.000000000000000000e+00	2.839875000000000149e+00	2.770125000000000171e+00
6.000000000000000000e+00	2.841000000000000192e+00	2.774624999999999897e+00
7.000000000000000000e+00	2.841000000000000192e+00	2.771625000000000227e+00
8.000000000000000000e+00	2.837625000000000064e+00	2.771250000000000213e+00
9.000000000000000000e+00	2.840250000000000163e+00	2.773124999999999840e+00
1.000000000000000000e+01	2.840625000000000178e+00	2.772375000000000256e+00
1.100000000000000000e+01	2.839875000000000149e+00	2.772375000000000256e+00
1.200000000000000000e+01	2.841000000000000192e+00	2.769375000000000142e+00
1.300000000000000000e+01	2.841375000000000206e+00	2.770500000000000185e+00
1.400000000000000000e+01	2.839875000000000149e+00	2.770125000000000171e+00
1.500000000000000000e+01	2.836500000000000021e+00	2.772375000000000256e+00
1.600000000000000000e+01	2.834999999999999964e+00	2.771250000000000213e+00
1.700000000000000000e+01	2.834999999999999964e+00	2.773124999999999840e+00
1.800000000000000000e+01	2.838375000000000092e+00	2.771625000000000227e+00
1.900000000000000000e+01	2.840250000000000163e+00	2.771250000000000213e+00
2.000000000000000000e+01	2.840625000000000178e+00	2.773499999999999854e+00
2.100000000000000000e+01	2.836875000000000036e+00	2.771250000000000213e+00
2.200000000000000000e+01	2.836875000000000036e+00	2.778000000000000025e+00
2.300000000000000000e+01	2.839875000000000149e+00	2.774249999999999883e+00
2.400000000000000000e+01	2.833499999999999908e+00	2.773874999999999869e+00
2.500000000000000000e+01	2.834624999999999950e+00	2.772375000000000256e+00
2.600000000000000000e+01	2.838000000000000078e+00	2.773874999999999869e+00
2.700000000000000000e+01	2.839875000000000149e+00	2.773124999999999840e+00
2.800000000000000000e+01	2.838000000000000078e+00	2.764124999999999943e+00
2.900000000000000000e+01	2.839500000000000135e+00	2.762999999999999901e+00
3.000000000000000000e+01	2.838000000000000078e+00	2.782125000000000181e+00
3.100000000000000000e+01	2.839500000000000135e+00	2.811374999999999957e+00
